| end of split   9 / 20 | epoch   8 | time:  3.08s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  10 / 20 | epoch   8 | time:  3.18s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  11 / 20 | epoch   8 | time:  3.20s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  12 / 20 | epoch   8 | time:  3.16s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  13 / 20 | epoch   8 | time:  3.17s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  14 / 20 | epoch   8 | time:  3.18s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  15 / 20 | epoch   8 | time:  3.13s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  16 / 20 | epoch   8 | time:  3.13s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0003
| end of split  17 / 20 | epoch   8 | time:  3.09s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split  18 / 20 | epoch   8 | time:  3.06s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split  19 / 20 | epoch   8 | time:  2.98s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split  20 / 20 | epoch   8 | time:  2.99s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   1 / 20 | epoch   9 | time:  3.31s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   2 / 20 | epoch   9 | time:  3.14s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   3 / 20 | epoch   9 | time:  3.07s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   4 / 20 | epoch   9 | time:  3.17s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   5 / 20 | epoch   9 | time:  3.00s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   6 / 20 | epoch   9 | time:  3.05s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   7 / 20 | epoch   9 | time:  3.05s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0001
| end of split   8 / 20 | epoch   9 | time:  3.11s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   9 / 20 | epoch   9 | time:  3.10s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  10 / 20 | epoch   9 | time:  3.14s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  11 / 20 | epoch   9 | time:  3.11s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  12 / 20 | epoch   9 | time:  3.05s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  13 / 20 | epoch   9 | time:  3.09s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  14 / 20 | epoch   9 | time:  3.17s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  15 / 20 | epoch   9 | time:  3.07s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  16 / 20 | epoch   9 | time:  3.09s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  17 / 20 | epoch   9 | time:  2.94s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  18 / 20 | epoch   9 | time:  3.06s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  19 / 20 | epoch   9 | time:  2.94s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  20 / 20 | epoch   9 | time:  3.08s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   1 / 20 | epoch  10 | time:  3.24s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   2 / 20 | epoch  10 | time:  3.11s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   3 / 20 | epoch  10 | time:  3.12s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   4 / 20 | epoch  10 | time:  3.06s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   5 / 20 | epoch  10 | time:  3.06s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   6 / 20 | epoch  10 | time:  3.10s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   7 / 20 | epoch  10 | time:  3.04s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   8 / 20 | epoch  10 | time:  3.16s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split   9 / 20 | epoch  10 | time:  3.06s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  10 / 20 | epoch  10 | time:  3.13s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  11 / 20 | epoch  10 | time:  3.05s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  12 / 20 | epoch  10 | time:  3.15s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
| end of split  13 / 20 | epoch  10 | time:  3.07s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0000
