| end of split   4 / 20 | epoch  12 | time:  3.08s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   5 / 20 | epoch  12 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   6 / 20 | epoch  12 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   7 / 20 | epoch  12 | time:  3.13s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   8 / 20 | epoch  12 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   9 / 20 | epoch  12 | time:  3.14s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  10 / 20 | epoch  12 | time:  3.06s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  11 / 20 | epoch  12 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  12 / 20 | epoch  12 | time:  3.17s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  13 / 20 | epoch  12 | time:  3.15s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  14 / 20 | epoch  12 | time:  3.15s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  15 / 20 | epoch  12 | time:  3.19s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  16 / 20 | epoch  12 | time:  3.09s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  17 / 20 | epoch  12 | time:  3.10s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  18 / 20 | epoch  12 | time:  2.96s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  19 / 20 | epoch  12 | time:  3.04s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split  20 / 20 | epoch  12 | time:  3.11s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
| end of split   1 / 20 | epoch  13 | time:  3.23s | valid loss  1.78 | valid ppl     5.96 | learning rate 0.0000
